title,link,pubDate,{http://purl.org/dc/elements/1.1/}creator,guid,description,{http://purl.org/rss/1.0/modules/content/}encoded,{http://wordpress.org/export/1.2/excerpt/}encoded,{http://wordpress.org/export/1.2/}post_id,{http://wordpress.org/export/1.2/}post_date,{http://wordpress.org/export/1.2/}post_date_gmt,{http://wordpress.org/export/1.2/}comment_status,{http://wordpress.org/export/1.2/}ping_status,{http://wordpress.org/export/1.2/}post_name,{http://wordpress.org/export/1.2/}status,{http://wordpress.org/export/1.2/}post_parent,{http://wordpress.org/export/1.2/}menu_order,{http://wordpress.org/export/1.2/}post_type,{http://wordpress.org/export/1.2/}post_password,{http://wordpress.org/export/1.2/}is_sticky,{http://wordpress.org/export/1.2/}attachment_url,{http://wordpress.org/export/1.2/}postmeta_{http://wordpress.org/export/1.2/}meta_key,{http://wordpress.org/export/1.2/}postmeta_{http://wordpress.org/export/1.2/}meta_value,{http://wordpress.org/export/1.2/}postmeta,{http://wordpress.org/export/1.2/}postmeta_{http://wordpress.org/export/1.2/}meta_key,{http://wordpress.org/export/1.2/}postmeta_{http://wordpress.org/export/1.2/}meta_value,{http://wordpress.org/export/1.2/}postmeta
"H1_A","https://www.purdue.edu/dynamics/?attachment_id=1983","Sun, 11 Jan 2015 18:37:12 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_A.png","","","","1983","2015-01-11 13:37:12","2015-01-11 18:37:12","open","open","h1_a","inherit","1982","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_A.png","_wp_attached_file","2015/01/H1_A.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:277;s:6:""height"";i:145;s:4:""file"";s:16:""2015/01/H1_A.png"";s:5:""sizes"";a:1:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H1_A-150x145.png"";s:5:""width"";i:150;s:6:""height"";i:145;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H1_B","https://www.purdue.edu/dynamics/?attachment_id=1984","Sun, 11 Jan 2015 18:37:12 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_B.png","","","","1984","2015-01-11 13:37:12","2015-01-11 18:37:12","open","open","h1_b","inherit","1982","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_B.png","_wp_attached_file","2015/01/H1_B.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:361;s:6:""height"";i:340;s:4:""file"";s:16:""2015/01/H1_B.png"";s:5:""sizes"";a:2:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H1_B-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";}s:6:""medium"";a:4:{s:4:""file"";s:16:""H1_B-300x282.png"";s:5:""width"";i:300;s:6:""height"";i:282;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H1_C","https://www.purdue.edu/dynamics/?attachment_id=1985","Sun, 11 Jan 2015 18:37:12 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_C.png","","","","1985","2015-01-11 13:37:12","2015-01-11 18:37:12","open","open","h1_c","inherit","1982","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_C.png","_wp_attached_file","2015/01/H1_C.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:202;s:6:""height"";i:169;s:4:""file"";s:16:""2015/01/H1_C.png"";s:5:""sizes"";a:1:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H1_C-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H1_F","https://www.purdue.edu/dynamics/?attachment_id=1986","Sun, 11 Jan 2015 18:37:13 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_F.png","","","","1986","2015-01-11 13:37:13","2015-01-11 18:37:13","open","open","h1_f","inherit","1982","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_F.png","_wp_attached_file","2015/01/H1_F.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:202;s:6:""height"";i:169;s:4:""file"";s:16:""2015/01/H1_F.png"";s:5:""sizes"";a:1:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H1_F-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H1_G","https://www.purdue.edu/dynamics/?attachment_id=1987","Sun, 11 Jan 2015 18:37:13 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_G.png","","","","1987","2015-01-11 13:37:13","2015-01-11 18:37:13","open","open","h1_g","inherit","1982","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_G.png","_wp_attached_file","2015/01/H1_G.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:325;s:6:""height"";i:204;s:4:""file"";s:16:""2015/01/H1_G.png"";s:5:""sizes"";a:2:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H1_G-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";}s:6:""medium"";a:4:{s:4:""file"";s:16:""H1_G-300x188.png"";s:5:""width"";i:300;s:6:""height"";i:188;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H1_H","https://www.purdue.edu/dynamics/?attachment_id=1988","Sun, 11 Jan 2015 18:37:13 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_H.png","","","","1988","2015-01-11 13:37:13","2015-01-11 18:37:13","open","open","h1_h","inherit","1982","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_H.png","_wp_attached_file","2015/01/H1_H.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:226;s:6:""height"";i:150;s:4:""file"";s:16:""2015/01/H1_H.png"";s:5:""sizes"";a:1:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H1_H-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H1_I","https://www.purdue.edu/dynamics/?attachment_id=1989","Sun, 11 Jan 2015 18:37:14 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_I.png","","","","1989","2015-01-11 13:37:14","2015-01-11 18:37:14","open","open","h1_i","inherit","1982","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_I.png","_wp_attached_file","2015/01/H1_I.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:352;s:6:""height"";i:183;s:4:""file"";s:16:""2015/01/H1_I.png"";s:5:""sizes"";a:2:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H1_I-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";}s:6:""medium"";a:4:{s:4:""file"";s:16:""H1_I-300x155.png"";s:5:""width"";i:300;s:6:""height"";i:155;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H1_J","https://www.purdue.edu/dynamics/?attachment_id=1990","Sun, 11 Jan 2015 18:37:14 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_J.png","","","","1990","2015-01-11 13:37:14","2015-01-11 18:37:14","open","open","h1_j","inherit","1982","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H1_J.png","_wp_attached_file","2015/01/H1_J.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:262;s:6:""height"";i:255;s:4:""file"";s:16:""2015/01/H1_J.png"";s:5:""sizes"";a:1:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H1_J-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H2_A","https://www.purdue.edu/dynamics/?attachment_id=2019","Mon, 26 Jan 2015 16:43:48 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H2_A.png","","","","2019","2015-01-26 11:43:48","2015-01-26 16:43:48","open","open","h2_a","inherit","2018","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H2_A.png","_wp_attached_file","2015/01/H2_A.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:192;s:6:""height"";i:148;s:4:""file"";s:16:""2015/01/H2_A.png"";s:5:""sizes"";a:1:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H2_A-150x148.png"";s:5:""width"";i:150;s:6:""height"";i:148;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
"H2_B","https://www.purdue.edu/dynamics/?attachment_id=2020","Mon, 26 Jan 2015 16:43:49 +0000","jfrhoads","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H2_B.png","","","","2020","2015-01-26 11:43:49","2015-01-26 16:43:49","open","open","h2_b","inherit","2018","0","attachment","","0","https://www.purdue.edu/dynamics/wp-content/uploads/2015/01/H2_B.png","_wp_attached_file","2015/01/H2_B.png","","_wp_attachment_metadata","a:5:{s:5:""width"";i:329;s:6:""height"";i:182;s:4:""file"";s:16:""2015/01/H2_B.png"";s:5:""sizes"";a:2:{s:9:""thumbnail"";a:4:{s:4:""file"";s:16:""H2_B-150x150.png"";s:5:""width"";i:150;s:6:""height"";i:150;s:9:""mime-type"";s:9:""image/png"";}s:6:""medium"";a:4:{s:4:""file"";s:16:""H2_B-300x165.png"";s:5:""width"";i:300;s:6:""height"";i:165;s:9:""mime-type"";s:9:""image/png"";}}s:10:""image_meta"";a:11:{s:8:""aperture"";i:0;s:6:""credit"";s:0:"""";s:6:""camera"";s:0:"""";s:7:""caption"";s:0:"""";s:17:""created_timestamp"";i:0;s:9:""copyright"";s:0:"""";s:12:""focal_length"";i:0;s:3:""iso"";i:0;s:13:""shutter_speed"";i:0;s:5:""title"";s:0:"""";s:11:""orientation"";i:0;}}",""
