,source,target,time
0,0@purdue.edu,2@purdue.edu,1/14/15 1:45
1,0@purdue.edu,3@purdue.edu,1/17/15 13:04
2,0@purdue.edu,2@purdue.edu,2/16/15 19:40
3,2@purdue.edu,4@purdue.edu,2/17/15 20:10
4,0@purdue.edu,4@purdue.edu,2/17/15 20:55
5,4@purdue.edu,5@purdue.edu,2/17/15 23:03
6,5@purdue.edu,5@purdue.edu,2/17/15 23:19
7,5@purdue.edu,4@purdue.edu,2/18/15 10:53
8,4@purdue.edu,6@purdue.edu,2/18/15 17:10
9,0@purdue.edu,7@purdue.edu,2/18/15 17:42
10,7@purdue.edu,8@purdue.edu,2/18/15 19:37
11,4@purdue.edu,9@purdue.edu,2/18/15 19:42
12,0@purdue.edu,10@purdue.edu,2/18/15 23:36
13,0@purdue.edu,11@purdue.edu,2/19/15 12:44
14,2@purdue.edu,12@purdue.edu,2/19/15 13:41
15,0@purdue.edu,13@purdue.edu,3/2/15 14:37
16,0@purdue.edu,14@purdue.edu,3/6/15 18:49
17,0@purdue.edu,15@purdue.edu,3/6/15 20:52
18,0@purdue.edu,16@purdue.edu,3/11/15 15:33
19,16@purdue.edu,17@purdue.edu,5/1/15 21:36
20,10@purdue.edu,18@purdue.edu,5/2/15 11:47
21,18@purdue.edu,19@purdue.edu,5/2/15 16:45
22,16@purdue.edu,8@purdue.edu,5/3/15 14:46
23,8@purdue.edu,20@purdue.edu,5/3/15 15:42
24,0@purdue.edu,20@purdue.edu,5/3/15 16:03
25,8@purdue.edu,19@purdue.edu,5/3/15 17:36
26,20@purdue.edu,19@purdue.edu,5/3/15 17:37
27,8@purdue.edu,21@purdue.edu,5/3/15 21:26
28,21@purdue.edu,21@purdue.edu,5/3/15 21:30
29,0@purdue.edu,22@purdue.edu,5/3/15 21:34
30,17@purdue.edu,23@purdue.edu,5/3/15 23:04
31,22@purdue.edu,24@purdue.edu,5/4/15 12:43
32,8@purdue.edu,25@purdue.edu,5/4/15 13:55
33,25@purdue.edu,12@purdue.edu,5/4/15 14:01
34,8@purdue.edu,12@purdue.edu,5/4/15 14:02
35,19@purdue.edu,25@purdue.edu,5/4/15 14:02
36,25@purdue.edu,26@purdue.edu,5/4/15 14:30
37,18@purdue.edu,12@purdue.edu,5/4/15 14:44
38,16@purdue.edu,26@purdue.edu,5/4/15 18:59
39,25@purdue.edu,27@purdue.edu,5/4/15 20:00
40,26@purdue.edu,28@purdue.edu,5/4/15 22:46
41,1@purdue.edu,29@purdue.edu,1/22/15 15:29
42,1@purdue.edu,30@purdue.edu,1/27/15 11:41
43,30@purdue.edu,31@purdue.edu,1/27/15 17:45
44,31@purdue.edu,31@purdue.edu,1/27/15 17:45
45,30@purdue.edu,32@purdue.edu,1/27/15 18:42
46,32@purdue.edu,33@purdue.edu,1/27/15 19:14
47,33@purdue.edu,34@purdue.edu,1/27/15 21:18
48,31@purdue.edu,35@purdue.edu,1/27/15 22:14
49,1@purdue.edu,33@purdue.edu,1/27/15 22:54
50,1@purdue.edu,36@purdue.edu,1/17/15 15:11
51,1@purdue.edu,37@purdue.edu,1/22/15 15:28
52,37@purdue.edu,29@purdue.edu,1/27/15 19:24
53,36@purdue.edu,12@purdue.edu,2/19/15 13:40
54,0@purdue.edu,38@purdue.edu,1/12/15 9:36
55,38@purdue.edu,39@purdue.edu,1/12/15 9:40
56,0@purdue.edu,40@purdue.edu,1/12/15 13:25
57,40@purdue.edu,41@purdue.edu,1/12/15 13:56
58,0@purdue.edu,18@purdue.edu,1/12/15 14:47
59,18@purdue.edu,38@purdue.edu,1/12/15 15:34
60,0@purdue.edu,42@purdue.edu,1/12/15 17:05
61,41@purdue.edu,43@purdue.edu,1/12/15 20:18
62,18@purdue.edu,44@purdue.edu,1/12/15 21:00
63,42@purdue.edu,45@purdue.edu,1/12/15 21:29
64,42@purdue.edu,46@purdue.edu,1/12/15 21:59
65,18@purdue.edu,47@purdue.edu,1/12/15 22:15
66,18@purdue.edu,48@purdue.edu,1/12/15 22:15
67,48@purdue.edu,49@purdue.edu,1/12/15 22:18
68,45@purdue.edu,50@purdue.edu,1/12/15 23:47
69,0@purdue.edu,51@purdue.edu,1/13/15 9:46
70,0@purdue.edu,52@purdue.edu,1/13/15 10:15
71,52@purdue.edu,34@purdue.edu,1/13/15 14:40
72,46@purdue.edu,53@purdue.edu,1/13/15 15:06
