,source,target,time
0,0@purdue.edu,3@purdue.edu,8/26/15 20:33
1,3@purdue.edu,4@purdue.edu,8/26/15 21:34
2,4@purdue.edu,5@purdue.edu,8/26/15 21:46
3,3@purdue.edu,6@purdue.edu,8/27/15 11:59
4,5@purdue.edu,7@purdue.edu,8/27/15 14:15
5,0@purdue.edu,2@purdue.edu,8/27/15 16:21
6,0@purdue.edu,8@purdue.edu,8/27/15 21:40
7,8@purdue.edu,8@purdue.edu,8/27/15 21:55
8,0@purdue.edu,8@purdue.edu,9/7/15 15:04
9,8@purdue.edu,9@purdue.edu,9/8/15 1:00
10,0@purdue.edu,7@purdue.edu,9/9/15 16:22
11,7@purdue.edu,6@purdue.edu,9/10/15 18:40
12,0@purdue.edu,8@purdue.edu,9/11/15 0:14
13,0@purdue.edu,10@purdue.edu,9/24/15 13:14
14,0@purdue.edu,8@purdue.edu,9/24/15 23:00
15,0@purdue.edu,8@purdue.edu,9/24/15 23:10
16,0@purdue.edu,8@purdue.edu,9/25/15 0:27
17,0@purdue.edu,11@purdue.edu,9/28/15 9:33
18,0@purdue.edu,12@purdue.edu,9/28/15 9:37
19,0@purdue.edu,13@purdue.edu,9/29/15 12:26
20,0@purdue.edu,12@purdue.edu,9/29/15 23:20
21,0@purdue.edu,6@purdue.edu,10/3/15 15:33
22,0@purdue.edu,14@purdue.edu,10/4/15 23:28
23,0@purdue.edu,15@purdue.edu,10/5/15 23:09
24,0@purdue.edu,16@purdue.edu,10/6/15 15:25
25,0@purdue.edu,15@purdue.edu,10/6/15 15:31
26,0@purdue.edu,6@purdue.edu,10/6/15 17:33
27,0@purdue.edu,14@purdue.edu,10/6/15 19:48
28,0@purdue.edu,17@purdue.edu,10/7/15 1:56
29,0@purdue.edu,15@purdue.edu,10/5/15 23:35
30,0@purdue.edu,18@purdue.edu,10/6/15 15:58
31,0@purdue.edu,8@purdue.edu,10/6/15 16:20
32,0@purdue.edu,8@purdue.edu,10/6/15 17:00
33,0@purdue.edu,19@purdue.edu,10/6/15 17:06
34,0@purdue.edu,14@purdue.edu,10/6/15 20:03
35,0@purdue.edu,20@purdue.edu,10/6/15 20:17
36,0@purdue.edu,11@purdue.edu,10/6/15 20:32
37,0@purdue.edu,15@purdue.edu,10/7/15 17:01
38,0@purdue.edu,21@purdue.edu,10/8/15 15:27
39,0@purdue.edu,22@purdue.edu,10/13/15 12:42
40,0@purdue.edu,13@purdue.edu,10/13/15 15:20
41,0@purdue.edu,23@purdue.edu,10/13/15 16:13
42,0@purdue.edu,17@purdue.edu,10/13/15 17:01
43,0@purdue.edu,24@purdue.edu,10/13/15 20:21
44,0@purdue.edu,6@purdue.edu,10/13/15 21:08
45,0@purdue.edu,25@purdue.edu,10/14/15 16:15
46,0@purdue.edu,20@purdue.edu,10/14/15 16:27
47,0@purdue.edu,13@purdue.edu,10/14/15 21:57
48,0@purdue.edu,26@purdue.edu,10/15/15 15:46
49,0@purdue.edu,8@purdue.edu,10/15/15 23:10
50,0@purdue.edu,24@purdue.edu,10/17/15 20:14
51,0@purdue.edu,16@purdue.edu,10/17/15 22:43
52,0@purdue.edu,12@purdue.edu,10/18/15 22:12
53,0@purdue.edu,25@purdue.edu,10/19/15 11:00
54,0@purdue.edu,15@purdue.edu,10/16/15 23:29
55,0@purdue.edu,11@purdue.edu,10/18/15 13:47
56,0@purdue.edu,27@purdue.edu,10/18/15 13:49
57,0@purdue.edu,28@purdue.edu,10/20/15 16:09
58,0@purdue.edu,6@purdue.edu,10/20/15 18:29
59,0@purdue.edu,20@purdue.edu,10/19/15 22:55
60,0@purdue.edu,13@purdue.edu,10/20/15 0:14
61,0@purdue.edu,6@purdue.edu,10/20/15 18:32
62,0@purdue.edu,29@purdue.edu,10/22/15 18:08
63,0@purdue.edu,30@purdue.edu,10/22/15 20:31
64,0@purdue.edu,23@purdue.edu,10/23/15 1:16
65,0@purdue.edu,31@purdue.edu,10/25/15 22:02
66,0@purdue.edu,16@purdue.edu,10/27/15 12:06
67,0@purdue.edu,6@purdue.edu,10/29/15 15:38
68,0@purdue.edu,12@purdue.edu,11/1/15 20:24
69,0@purdue.edu,32@purdue.edu,11/1/15 18:25
70,0@purdue.edu,32@purdue.edu,11/1/15 18:43
71,0@purdue.edu,20@purdue.edu,11/1/15 18:58
72,0@purdue.edu,6@purdue.edu,11/3/15 16:13
73,0@purdue.edu,26@purdue.edu,11/3/15 18:35
74,0@purdue.edu,13@purdue.edu,11/3/15 13:52
75,0@purdue.edu,8@purdue.edu,11/5/15 12:31
76,0@purdue.edu,5@purdue.edu,11/5/15 15:07
77,0@purdue.edu,13@purdue.edu,11/6/15 11:06
78,0@purdue.edu,15@purdue.edu,11/8/15 17:17
79,0@purdue.edu,33@purdue.edu,11/8/15 18:23
80,0@purdue.edu,15@purdue.edu,11/8/15 18:23
81,0@purdue.edu,12@purdue.edu,11/8/15 19:22
82,0@purdue.edu,12@purdue.edu,11/8/15 19:45
83,0@purdue.edu,26@purdue.edu,11/8/15 22:39
84,0@purdue.edu,34@purdue.edu,11/9/15 9:47
85,0@purdue.edu,23@purdue.edu,11/14/15 2:12
86,0@purdue.edu,15@purdue.edu,11/9/15 23:00
87,0@purdue.edu,8@purdue.edu,11/10/15 0:26
88,0@purdue.edu,8@purdue.edu,11/10/15 15:15
89,0@purdue.edu,11@purdue.edu,11/10/15 20:42
90,0@purdue.edu,35@purdue.edu,11/10/15 22:49
91,0@purdue.edu,15@purdue.edu,11/10/15 23:06
92,0@purdue.edu,15@purdue.edu,11/10/15 23:20
93,0@purdue.edu,34@purdue.edu,11/11/15 12:02
94,0@purdue.edu,8@purdue.edu,11/10/15 0:32
95,0@purdue.edu,6@purdue.edu,11/10/15 18:23
96,0@purdue.edu,12@purdue.edu,11/10/15 23:44
97,0@purdue.edu,34@purdue.edu,11/11/15 11:17
98,0@purdue.edu,34@purdue.edu,11/11/15 12:11
99,0@purdue.edu,30@purdue.edu,11/11/15 17:27
100,0@purdue.edu,20@purdue.edu,11/11/15 21:44
101,0@purdue.edu,16@purdue.edu,11/12/15 15:42
102,0@purdue.edu,36@purdue.edu,11/12/15 23:39
103,0@purdue.edu,26@purdue.edu,11/13/15 7:41
104,0@purdue.edu,34@purdue.edu,11/13/15 11:03
105,0@purdue.edu,37@purdue.edu,11/13/15 12:30
106,0@purdue.edu,6@purdue.edu,11/12/15 15:01
107,0@purdue.edu,34@purdue.edu,11/13/15 11:25
108,0@purdue.edu,23@purdue.edu,11/14/15 2:08
109,0@purdue.edu,28@purdue.edu,11/13/15 16:48
110,0@purdue.edu,8@purdue.edu,11/15/15 16:55
111,0@purdue.edu,35@purdue.edu,11/15/15 20:45
112,0@purdue.edu,34@purdue.edu,11/16/15 4:02
113,0@purdue.edu,8@purdue.edu,11/15/15 17:58
114,0@purdue.edu,35@purdue.edu,11/15/15 20:35
115,0@purdue.edu,30@purdue.edu,11/20/15 12:32
116,0@purdue.edu,8@purdue.edu,11/23/15 0:25
117,0@purdue.edu,15@purdue.edu,12/2/15 14:57
118,0@purdue.edu,30@purdue.edu,11/20/15 12:33
119,0@purdue.edu,5@purdue.edu,11/22/15 20:27
120,0@purdue.edu,15@purdue.edu,11/24/15 23:25
121,0@purdue.edu,36@purdue.edu,12/1/15 21:30
122,0@purdue.edu,34@purdue.edu,12/2/15 2:40
123,0@purdue.edu,31@purdue.edu,12/5/15 20:03
124,0@purdue.edu,15@purdue.edu,12/6/15 12:50
125,0@purdue.edu,19@purdue.edu,12/6/15 22:38
126,0@purdue.edu,8@purdue.edu,12/6/15 22:57
127,0@purdue.edu,35@purdue.edu,12/7/15 0:40
128,0@purdue.edu,20@purdue.edu,12/7/15 21:56
129,0@purdue.edu,6@purdue.edu,12/8/15 16:02
130,0@purdue.edu,26@purdue.edu,12/9/15 3:06
131,0@purdue.edu,14@purdue.edu,12/9/15 12:24
132,0@purdue.edu,38@purdue.edu,12/11/15 12:47
133,0@purdue.edu,38@purdue.edu,12/11/15 12:49
134,0@purdue.edu,8@purdue.edu,12/8/15 16:59
135,0@purdue.edu,39@purdue.edu,12/8/15 18:17
136,0@purdue.edu,26@purdue.edu,12/9/15 3:58
137,0@purdue.edu,38@purdue.edu,12/11/15 12:52
138,0@purdue.edu,35@purdue.edu,12/11/15 0:11
139,0@purdue.edu,26@purdue.edu,12/11/15 3:21
140,0@purdue.edu,38@purdue.edu,12/11/15 12:48
141,0@purdue.edu,38@purdue.edu,12/11/15 12:45
