,source,target,time
0,0@purdue.edu,2@purdue.edu,1/29/16 17:49
1,0@purdue.edu,3@purdue.edu,2/8/16 15:06
2,0@purdue.edu,4@purdue.edu,2/15/16 16:07
3,0@purdue.edu,5@purdue.edu,4/17/16 13:27
4,0@purdue.edu,6@purdue.edu,4/27/16 15:03
5,6@purdue.edu,7@purdue.edu,4/28/16 23:36
6,7@purdue.edu,8@purdue.edu,4/29/16 23:33
7,0@purdue.edu,9@purdue.edu,5/2/16 22:01
8,0@purdue.edu,10@purdue.edu,4/19/16 21:23
9,0@purdue.edu,11@purdue.edu,4/20/16 14:03
10,1@purdue.edu,12@purdue.edu,2/14/16 17:20
11,1@purdue.edu,13@purdue.edu,2/14/16 21:35
12,13@purdue.edu,0@purdue.edu,2/15/16 16:47
13,1@purdue.edu,10@purdue.edu,3/8/16 21:10
14,10@purdue.edu,14@purdue.edu,3/8/16 22:43
15,1@purdue.edu,15@purdue.edu,4/14/16 14:36
16,15@purdue.edu,16@purdue.edu,4/16/16 16:20
17,1@purdue.edu,17@purdue.edu,4/16/16 21:48
18,1@purdue.edu,18@purdue.edu,4/26/16 21:57
19,18@purdue.edu,19@purdue.edu,4/27/16 10:45
20,1@purdue.edu,20@purdue.edu,4/27/16 11:13
21,1@purdue.edu,21@purdue.edu,5/2/16 14:23
22,21@purdue.edu,22@purdue.edu,5/3/16 0:11
23,0@purdue.edu,23@purdue.edu,1/5/16 17:50
24,0@purdue.edu,0@purdue.edu,1/6/16 9:51
25,0@purdue.edu,24@purdue.edu,1/11/16 10:00
26,24@purdue.edu,17@purdue.edu,1/11/16 14:06
27,24@purdue.edu,11@purdue.edu,1/11/16 15:49
28,0@purdue.edu,25@purdue.edu,1/11/16 16:38
29,0@purdue.edu,26@purdue.edu,1/11/16 17:18
30,0@purdue.edu,26@purdue.edu,1/11/16 17:24
31,0@purdue.edu,27@purdue.edu,1/12/16 16:10
32,23@purdue.edu,28@purdue.edu,1/12/16 16:22
33,25@purdue.edu,29@purdue.edu,1/12/16 16:44
34,25@purdue.edu,30@purdue.edu,1/12/16 18:13
35,26@purdue.edu,31@purdue.edu,1/12/16 18:25
36,0@purdue.edu,32@purdue.edu,1/12/16 20:20
37,26@purdue.edu,0@purdue.edu,1/12/16 21:08
38,32@purdue.edu,33@purdue.edu,1/12/16 22:15
39,0@purdue.edu,14@purdue.edu,1/13/16 0:04
40,27@purdue.edu,14@purdue.edu,1/13/16 0:06
41,26@purdue.edu,5@purdue.edu,1/13/16 10:55
42,0@purdue.edu,34@purdue.edu,1/11/16 14:12
43,0@purdue.edu,35@purdue.edu,1/11/16 14:34
44,0@purdue.edu,25@purdue.edu,1/11/16 16:39
45,25@purdue.edu,36@purdue.edu,1/11/16 17:41
46,0@purdue.edu,37@purdue.edu,1/11/16 22:10
47,37@purdue.edu,38@purdue.edu,1/12/16 0:36
48,0@purdue.edu,38@purdue.edu,1/12/16 0:39
49,0@purdue.edu,39@purdue.edu,1/12/16 14:03
50,0@purdue.edu,40@purdue.edu,1/12/16 14:43
51,34@purdue.edu,41@purdue.edu,1/12/16 15:28
52,40@purdue.edu,42@purdue.edu,1/12/16 16:17
53,0@purdue.edu,43@purdue.edu,1/12/16 16:20
54,0@purdue.edu,27@purdue.edu,1/12/16 16:35
55,0@purdue.edu,44@purdue.edu,1/12/16 20:59
56,43@purdue.edu,32@purdue.edu,1/12/16 21:30
57,44@purdue.edu,26@purdue.edu,1/12/16 23:59
58,38@purdue.edu,14@purdue.edu,1/13/16 0:08
59,0@purdue.edu,14@purdue.edu,1/13/16 0:18
60,14@purdue.edu,14@purdue.edu,1/13/16 0:20
61,0@purdue.edu,45@purdue.edu,1/13/16 1:03
62,0@purdue.edu,46@purdue.edu,1/13/16 8:50
63,0@purdue.edu,47@purdue.edu,1/13/16 15:01
64,45@purdue.edu,48@purdue.edu,1/13/16 19:28
65,0@purdue.edu,49@purdue.edu,1/13/16 15:04
66,49@purdue.edu,49@purdue.edu,1/13/16 15:08
67,0@purdue.edu,36@purdue.edu,1/13/16 17:35
68,36@purdue.edu,50@purdue.edu,1/13/16 18:28
69,36@purdue.edu,51@purdue.edu,1/14/16 9:39
70,0@purdue.edu,52@purdue.edu,1/14/16 13:52
71,0@purdue.edu,53@purdue.edu,1/14/16 19:32
72,0@purdue.edu,27@purdue.edu,1/14/16 20:24
73,53@purdue.edu,54@purdue.edu,1/14/16 21:17
74,27@purdue.edu,54@purdue.edu,1/14/16 21:21
75,0@purdue.edu,29@purdue.edu,1/14/16 21:41
76,0@purdue.edu,55@purdue.edu,1/15/16 11:51
77,0@purdue.edu,56@purdue.edu,1/13/16 14:35
78,56@purdue.edu,51@purdue.edu,1/13/16 16:31
79,0@purdue.edu,57@purdue.edu,1/13/16 16:39
80,57@purdue.edu,51@purdue.edu,1/13/16 17:03
81,51@purdue.edu,27@purdue.edu,1/14/16 10:13
82,27@purdue.edu,51@purdue.edu,1/14/16 10:43
83,51@purdue.edu,58@purdue.edu,1/14/16 10:53
84,0@purdue.edu,25@purdue.edu,1/14/16 16:11
85,58@purdue.edu,51@purdue.edu,1/14/16 20:46
86,25@purdue.edu,32@purdue.edu,1/14/16 20:56
