id,indegree,outdegree,degree,weighted degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,strongcompnum,pageranks
3@purdue.edu,0,2,2,2,3,0.571428571,0.708333333,0,4,0.021805264
4@purdue.edu,1,1,2,2,3,0.5,0.611111111,2,3,0.031073426
5@purdue.edu,1,1,2,2,2,0.666666667,0.75,3,2,0.048215704
6@purdue.edu,2,0,2,2,0,0,0,0,0,0.084380739
7@purdue.edu,1,1,2,2,1,1,1,2,1,0.062762087
8@purdue.edu,1,2,3,3,1,1,1,0,6,0.021805264
9@purdue.edu,1,0,1,1,0,0,0,0,5,0.037899801
10@purdue.edu,0,0,0,0,0,0,0,0,7,0.037899801
11@purdue.edu,0,0,0,0,0,0,0,0,8,0.021805264
12@purdue.edu,0,0,0,0,0,0,0,0,9,0.021805264
13@purdue.edu,0,0,0,0,0,0,0,0,10,0.021805264
14@purdue.edu,0,0,0,0,0,0,0,0,11,0.021805264
15@purdue.edu,0,0,0,0,0,0,0,0,12,0.021805264
16@purdue.edu,0,0,0,0,0,0,0,0,13,0.021805264
17@purdue.edu,0,0,0,0,0,0,0,0,14,0.021805264
18@purdue.edu,0,0,0,0,0,0,0,0,15,0.021805264
19@purdue.edu,0,0,0,0,0,0,0,0,16,0.021805264
20@purdue.edu,0,0,0,0,0,0,0,0,17,0.021805264
21@purdue.edu,0,0,0,0,0,0,0,0,18,0.021805264
22@purdue.edu,0,0,0,0,0,0,0,0,19,0.021805264
23@purdue.edu,0,0,0,0,0,0,0,0,20,0.021805264
24@purdue.edu,0,0,0,0,0,0,0,0,21,0.021805264
25@purdue.edu,0,0,0,0,0,0,0,0,22,0.021805264
26@purdue.edu,0,0,0,0,0,0,0,0,23,0.021805264
27@purdue.edu,0,0,0,0,0,0,0,0,24,0.021805264
28@purdue.edu,0,0,0,0,0,0,0,0,25,0.021805264
29@purdue.edu,0,0,0,0,0,0,0,0,26,0.021805264
30@purdue.edu,0,0,0,0,0,0,0,0,27,0.021805264
31@purdue.edu,0,0,0,0,0,0,0,0,28,0.021805264
32@purdue.edu,0,0,0,0,0,0,0,0,29,0.021805264
33@purdue.edu,0,0,0,0,0,0,0,0,30,0.021805264
34@purdue.edu,0,0,0,0,0,0,0,0,31,0.021805264
35@purdue.edu,0,0,0,0,0,0,0,0,32,0.021805264
36@purdue.edu,0,0,0,0,0,0,0,0,33,0.021805264
37@purdue.edu,0,0,0,0,0,0,0,0,34,0.021805264
38@purdue.edu,0,0,0,0,0,0,0,0,35,0.021805264
39@purdue.edu,0,0,0,0,0,0,0,0,36,0.021805264
,,,,,,,,,,0.021805264
