id,indegree,outdegree,degree,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,strongcompnum,pageranks
2@purdue.edu,0,0,0,0,0,0,0,0,0.001432436
3@purdue.edu,16,16,32,8,0.300230947,0.386309524,6140.411799,33,0.038534909
4@purdue.edu,2,8,10,7,0.314009662,0.377509158,604.4278622,33,0.003548919
5@purdue.edu,3,1,4,9,0.191740413,0.219023199,99.46485089,33,0.004389487
6@purdue.edu,1,2,3,8,0.228070175,0.259862637,26.31015406,33,0.002472239
7@purdue.edu,3,5,8,8,0.224525043,0.267811355,1003.414148,33,0.009530162
8@purdue.edu,1,1,2,9,0.169050715,0.182274115,17.25,33,0.003052625
9@purdue.edu,3,3,6,7,0.210272873,0.241384951,42.41746032,34,0.003056713
10@purdue.edu,0,1,1,11,0.161330049,0.180480101,0,35,0.001432436
11@purdue.edu,1,2,3,8,0.231316726,0.263379121,324.1745393,33,0.002570266
12@purdue.edu,6,5,11,8,0.262096774,0.305357143,869.4583974,33,0.008765963
13@purdue.edu,5,3,8,7,0.252427184,0.289065934,832.2098378,33,0.005474879
14@purdue.edu,10,4,14,10,0.190895742,0.219752747,964.3695055,33,0.034090352
15@purdue.edu,3,3,6,9,0.195783133,0.226141636,199.5643468,33,0.003961162
16@purdue.edu,4,2,6,9,0.191458027,0.217869353,259.6635986,33,0.004790866
17@purdue.edu,5,1,6,8,0.201550388,0.21779304,532.3166667,33,0.010675656
18@purdue.edu,0,1,1,13,0.127804878,0.144660153,0,36,0.001432436
19@purdue.edu,5,3,8,12,0.14541387,0.168001443,427.2296218,33,0.011816786
20@purdue.edu,0,1,1,10,0.196401799,0.222237368,0,37,0.001432436
21@purdue.edu,0,2,2,11,0.162361624,0.186688585,0,39,0.001432436
22@purdue.edu,1,0,1,0,0,0,0,38,0.002041231
23@purdue.edu,0,1,1,10,0.198484848,0.224082152,0,40,0.001432436
24@purdue.edu,2,3,5,8,0.202492212,0.232087912,524.1114441,33,0.004015732
25@purdue.edu,2,7,9,8,0.272536688,0.335228938,610.5442807,33,0.002785252
26@purdue.edu,2,4,6,8,0.213464696,0.244001832,186.0347403,33,0.00301656
27@purdue.edu,10,11,21,6,0.334190231,0.396410256,3212.055276,33,0.031475001
28@purdue.edu,10,3,13,9,0.245746692,0.293391331,2240.809098,33,0.02258333
29@purdue.edu,2,0,2,0,0,0,0,17,0.003817904
30@purdue.edu,3,0,3,0,0,0,0,14,0.00393602
31@purdue.edu,7,4,11,7,0.251450677,0.284139194,1108.175292,33,0.011574706
32@purdue.edu,16,6,22,9,0.23297491,0.275772283,1859.414078,33,0.02621761
33@purdue.edu,3,1,4,10,0.198170732,0.223882784,209.7001082,33,0.008125792
34@purdue.edu,0,4,4,7,0.258823529,0.299945887,0,42,0.001432436
35@purdue.edu,0,5,5,6,0.276371308,0.321882952,0,43,0.001432436
36@purdue.edu,1,2,3,8,0.203442879,0.225869963,11.61666667,33,0.001770655
37@purdue.edu,0,1,1,12,0.139830508,0.155421094,0,45,0.001432436
38@purdue.edu,1,1,2,11,0.161330049,0.180480101,131,44,0.002650026
39@purdue.edu,2,0,2,0,0,0,0,8,0.004821167
40@purdue.edu,1,2,3,8,0.222222222,0.249459707,304.6614688,33,0.004607889
41@purdue.edu,1,0,1,0,0,0,0,41,0.001736834
42@purdue.edu,1,0,1,0,0,0,0,28,0.003390852
43@purdue.edu,0,1,1,10,0.190130624,0.213876772,0,46,0.001432436
44@purdue.edu,3,7,10,8,0.265848671,0.324075092,1222.514603,33,0.008035153
45@purdue.edu,2,2,4,1,1,1,9.7,26,0.003690839
46@purdue.edu,0,0,0,0,0,0,0,47,0.001432436
47@purdue.edu,2,3,5,8,0.246679317,0.280027473,938.9488049,33,0.006902644
48@purdue.edu,4,0,4,0,0,0,0,5,0.008464261
49@purdue.edu,2,2,4,9,0.14994233,0.165323565,270,33,0.003377515
50@purdue.edu,4,0,4,0,0,0,0,16,0.005307937
51@purdue.edu,5,2,7,7,0.251937984,0.281227106,620.6372709,33,0.014058975
52@purdue.edu,0,0,0,0,0,0,0,48,0.001432436
53@purdue.edu,4,5,9,10,0.192592593,0.2376221,769.6381868,33,0.004691495
54@purdue.edu,4,0,4,0,0,0,0,6,0.005603828
55@purdue.edu,3,0,3,0,0,0,0,3,0.006705397
56@purdue.edu,2,2,4,8,0.202808112,0.220357143,46.44519632,33,0.00383268
57@purdue.edu,7,5,12,7,0.280172414,0.326483516,979.4019012,33,0.008917003
58@purdue.edu,1,1,2,8,0.201550388,0.21779304,0,33,0.007407755
59@purdue.edu,5,0,5,0,0,0,0,19,0.007235642
60@purdue.edu,0,1,1,8,0.202472952,0.226908397,0,49,0.001432436
61@purdue.edu,0,1,1,7,0.251923077,0.27780807,0,50,0.001432436
62@purdue.edu,12,7,19,7,0.251937984,0.303150183,2495.530566,33,0.016741017
63@purdue.edu,1,5,6,7,0.271966527,0.321483516,354.4587302,33,0.001942039
64@purdue.edu,1,0,1,0,0,0,0,20,0.001762589
65@purdue.edu,0,1,1,10,0.190130624,0.213876772,0,51,0.001432436
66@purdue.edu,1,5,6,8,0.249042146,0.301620879,286.9464793,33,0.001968483
67@purdue.edu,0,0,0,0,0,0,0,52,0.001432436
68@purdue.edu,1,7,8,7,0.248565966,0.301831502,1284.480161,33,0.003479685
69@purdue.edu,0,1,1,1,1,1,0,53,0.001432436
70@purdue.edu,5,7,12,8,0.262626263,0.31771978,709.6824166,33,0.005156931
71@purdue.edu,4,3,7,7,0.256916996,0.293479853,984.2261239,33,0.007724626
72@purdue.edu,1,1,2,9,0.191740413,0.219023199,55.95833333,33,0.002948371
73@purdue.edu,1,2,3,10,0.202177294,0.231877289,76.66158009,33,0.0029227
74@purdue.edu,2,1,3,9,0.231316726,0.265515873,93.68333333,33,0.004721868
75@purdue.edu,3,6,9,9,0.242537313,0.29269536,784.197666,33,0.005444393
76@purdue.edu,3,4,7,9,0.257936508,0.312237485,1132.630417,33,0.005728898
77@purdue.edu,12,11,23,8,0.235081374,0.290998168,1527.253266,33,0.017440631
78@purdue.edu,2,1,3,9,0.23297491,0.268079976,233.3507369,33,0.003421338
79@purdue.edu,5,8,13,7,0.270833333,0.329377289,859.2904087,33,0.007771525
80@purdue.edu,1,0,1,0,0,0,0,18,0.002058655
81@purdue.edu,5,2,7,9,0.219224283,0.249700855,691.1082685,33,0.007471401
82@purdue.edu,0,1,1,13,0.127804878,0.144660153,0,54,0.001432436
83@purdue.edu,1,0,1,0,0,0,0,32,0.003479685
84@purdue.edu,2,11,13,6,0.325814536,0.391794872,557.8535825,33,0.00443849
85@purdue.edu,5,3,8,10,0.179310345,0.208965201,200.3119048,33,0.004841803
86@purdue.edu,3,2,5,7,0.227670753,0.256776557,350.7982406,33,0.005634359
87@purdue.edu,0,0,0,0,0,0,0,55,0.001432436
88@purdue.edu,0,0,0,0,0,0,0,56,0.001432436
89@purdue.edu,1,4,5,6,0.286975717,0.329102564,389.3914395,33,0.003702425
90@purdue.edu,4,1,5,10,0.198473282,0.224267399,900.2884339,33,0.008111597
91@purdue.edu,4,7,11,7,0.282608696,0.332967033,862.9713754,33,0.006483601
92@purdue.edu,1,5,6,7,0.230228471,0.269520174,0,57,0.001725832
93@purdue.edu,1,0,1,0,0,0,0,13,0.002219754
94@purdue.edu,2,1,3,8,0.214876033,0.241593407,61.33853763,33,0.002917771
95@purdue.edu,1,0,1,0,0,0,0,21,0.002651325
96@purdue.edu,0,0,0,0,0,0,0,58,0.001432436
97@purdue.edu,0,1,1,1,1,1,0,59,0.001432436
98@purdue.edu,3,0,3,0,0,0,0,31,0.004290163
99@purdue.edu,1,3,4,8,0.208333333,0.245668498,93.8982906,33,0.00214722
100@purdue.edu,5,6,11,9,0.217391304,0.270735653,764.3586356,33,0.005045385
101@purdue.edu,0,4,4,9,0.230636833,0.275580431,0,63,0.001432436
102@purdue.edu,2,4,6,8,0.261044177,0.309203297,329.3705913,33,0.003735161
103@purdue.edu,0,0,0,0,0,0,0,64,0.001432436
104@purdue.edu,1,3,4,7,0.266802444,0.307651763,52.00649351,65,0.001725832
105@purdue.edu,2,0,2,0,0,0,0,27,0.002296618
106@purdue.edu,2,1,3,9,0.198776758,0.21780525,199.3018759,33,0.004228799
107@purdue.edu,1,1,2,0,0,0,0,66,0.009522656
108@purdue.edu,5,5,10,8,0.228873239,0.271877289,1609.183157,33,0.011032643
109@purdue.edu,3,4,7,10,0.164141414,0.201666667,315.9757649,33,0.004472869
110@purdue.edu,2,0,2,0,0,0,0,11,0.003443614
111@purdue.edu,0,0,0,0,0,0,0,67,0.001432436
112@purdue.edu,1,2,3,11,0.162094763,0.190738983,51.75833333,33,0.002230013
113@purdue.edu,4,8,12,6,0.300925926,0.359230769,1503.136234,33,0.00479614
114@purdue.edu,1,1,2,8,0.220713073,0.243424908,0,33,0.002219754
115@purdue.edu,1,0,1,0,0,0,0,62,0.001736834
116@purdue.edu,3,1,4,9,0.23255814,0.267823565,298.44889,33,0.005331747
117@purdue.edu,0,1,1,10,0.190130624,0.211513995,0,68,0.001432436
118@purdue.edu,1,3,4,7,0.266393443,0.304688645,138.457872,33,0.001968483
119@purdue.edu,0,2,2,7,0.209856916,0.236147186,0,70,0.001432436
120@purdue.edu,1,1,2,7,0.217607973,0.235605234,39.37730603,69,0.002041231
121@purdue.edu,3,2,5,6,0.276008493,0.308076923,642.7459929,33,0.006356667
122@purdue.edu,5,3,8,8,0.210016155,0.237472527,747.8390616,33,0.009617842
123@purdue.edu,2,2,4,7,0.23465704,0.264652015,535.7240204,33,0.005340963
124@purdue.edu,4,0,4,0,0,0,0,4,0.01311184
125@purdue.edu,0,1,1,11,0.161330049,0.180480101,0,71,0.001432436
126@purdue.edu,3,5,8,8,0.219594595,0.263580586,682.954379,33,0.004057309
127@purdue.edu,0,3,3,7,0.254863813,0.293456925,0,72,0.001432436
128@purdue.edu,12,1,13,1,1,1,130,2,0.016716451
129@purdue.edu,1,9,10,8,0.261386139,0.319164863,0,73,0.001581834
130@purdue.edu,6,6,12,8,0.23465704,0.274844322,1445.357589,33,0.007415964
131@purdue.edu,6,4,10,7,0.259481038,0.298223443,1067.231308,33,0.007961535
132@purdue.edu,1,1,2,7,0.231729055,0.256428571,0,33,0.001942039
133@purdue.edu,0,0,0,0,0,0,0,74,0.001432436
134@purdue.edu,2,0,2,0,0,0,0,1,0.015984898
135@purdue.edu,1,1,2,7,0.217391304,0.235494505,450.7321789,33,0.003465347
136@purdue.edu,1,0,1,0,0,0,0,29,0.003479685
137@purdue.edu,0,1,1,10,0.145374449,0.157419432,0,76,0.001432436
138@purdue.edu,1,1,2,9,0.168814433,0.181973222,131,75,0.002650026
139@purdue.edu,2,1,3,7,0.251450677,0.277380952,1003.475983,33,0.013525518
140@purdue.edu,1,5,6,8,0.23198594,0.275252525,0,77,0.001725832
141@purdue.edu,7,8,15,6,0.296803653,0.348717949,1498.697538,33,0.009282996
142@purdue.edu,1,0,1,0,0,0,0,23,0.001767086
143@purdue.edu,1,2,3,9,0.20123839,0.229362027,6.5,33,0.001762589
144@purdue.edu,1,1,2,8,0.207336523,0.228351648,200.7327625,33,0.003052625
145@purdue.edu,3,3,6,8,0.226086957,0.261913919,1228.017975,33,0.004815039
146@purdue.edu,0,1,1,11,0.138185654,0.153744368,0,78,0.001432436
147@purdue.edu,4,1,5,10,0.159118727,0.178250916,421.9731467,33,0.00723848
148@purdue.edu,3,6,9,7,0.263691684,0.313150183,721.4228022,33,0.004575029
149@purdue.edu,3,2,5,10,0.19005848,0.211675824,26.88080808,33,0.00478472
150@purdue.edu,1,1,2,1,1,1,19.84285714,9,0.002080588
151@purdue.edu,5,2,7,7,0.252918288,0.283150183,532.5701691,33,0.007786483
152@purdue.edu,0,1,1,10,0.189855072,0.211332243,0,79,0.001432436
153@purdue.edu,0,0,0,0,0,0,0,80,0.001432436
154@purdue.edu,0,3,3,7,0.244859813,0.278662305,0,81,0.001432436
155@purdue.edu,2,1,3,11,0.166666667,0.185024698,51.5952381,33,0.003027186
156@purdue.edu,7,3,10,8,0.206677266,0.230998168,456.6188401,33,0.010653028
157@purdue.edu,1,0,1,0,0,0,0,24,0.002408168
158@purdue.edu,0,0,0,0,0,0,0,82,0.001432436
159@purdue.edu,0,0,0,0,0,0,0,83,0.001432436
160@purdue.edu,1,2,3,8,0.174731183,0.195952381,264,33,0.002867912
161@purdue.edu,0,1,1,1,1,1,0,84,0.001432436
162@purdue.edu,0,0,0,0,0,0,0,85,0.001432436
163@purdue.edu,4,4,8,9,0.253411306,0.30269536,600.998992,33,0.007361454
164@purdue.edu,2,1,3,11,0.160493827,0.178022256,2.978968254,33,0.009054044
165@purdue.edu,6,3,9,11,0.167958656,0.191691364,594.0716792,33,0.012632753
166@purdue.edu,0,1,1,1,1,1,0,86,0.001432436
167@purdue.edu,0,2,2,9,0.205007825,0.236553375,0,87,0.001432436
168@purdue.edu,0,0,0,0,0,0,0,88,0.001432436
169@purdue.edu,1,0,1,0,0,0,0,30,0.001854984
170@purdue.edu,2,1,3,8,0.205047319,0.22481685,213.3226551,33,0.003772386
171@purdue.edu,0,1,1,10,0.198484848,0.224082152,0,89,0.001432436
172@purdue.edu,0,2,2,10,0.198484848,0.224082152,0,90,0.001432436
173@purdue.edu,1,2,3,8,0.220168067,0.242720829,0,91,0.002491227
174@purdue.edu,1,3,4,9,0.197268589,0.238037241,352.0774923,33,0.002780164
175@purdue.edu,6,2,8,9,0.188405797,0.21780525,800.7205826,33,0.011138241
176@purdue.edu,1,0,1,0,0,0,0,12,0.00238295
177@purdue.edu,0,1,1,1,1,1,0,92,0.001432436
178@purdue.edu,0,0,0,0,0,0,0,93,0.001432436
179@purdue.edu,2,0,2,0,0,0,0,7,0.002795372
180@purdue.edu,2,1,3,0,0,0,0,25,0.024022238
181@purdue.edu,1,1,2,9,0.212071778,0.239462759,136.5242729,33,0.003621145
182@purdue.edu,1,0,1,0,0,0,0,10,0.005146749
183@purdue.edu,1,1,2,9,0.171503958,0.186343101,53.69792985,33,0.002122196
184@purdue.edu,3,2,5,11,0.139784946,0.160995393,272.3333333,33,0.006725372
185@purdue.edu,1,1,2,0,0,0,0,94,0.009522656
186@purdue.edu,5,13,18,6,0.320197044,0.388333333,2098.729164,33,0.00819809
187@purdue.edu,2,2,4,10,0.161764706,0.180342112,19.66666667,61,0.003020622
188@purdue.edu,1,1,2,9,0.191520468,0.218623531,149.6666667,60,0.002716224
189@purdue.edu,3,4,7,9,0.171052632,0.202649573,317.9846918,33,0.003668512
190@purdue.edu,0,0,0,0,0,0,0,95,0.001432436
191@purdue.edu,0,3,3,8,0.202472952,0.242293711,0,96,0.001432436
192@purdue.edu,1,0,1,0,0,0,0,22,0.002780164
193@purdue.edu,1,1,2,12,0.122757318,0.136903929,0,33,0.004290796
194@purdue.edu,0,0,0,0,0,0,0,97,0.001432436
195@purdue.edu,0,0,0,0,0,0,0,98,0.001432436
196@purdue.edu,0,0,0,0,0,0,0,99,0.001432436
197@purdue.edu,0,0,0,0,0,0,0,100,0.001432436
198@purdue.edu,1,0,1,0,0,0,0,15,0.001775419
199@purdue.edu,5,1,6,13,0.127826942,0.144811385,167.2296218,33,0.005126276
200@purdue.edu,5,6,11,7,0.263157895,0.308864469,1870.307985,33,0.007339526
201@purdue.edu,0,2,2,7,0.227979275,0.256349206,0,101,0.001432436
