id,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,indegree,outdegree,degree,weighted degree,strongcompnum
2@purdue.edu,6.0,0.27900552486187846,0.2996699669967002,0.0,0,2,2,2.0,42
3@purdue.edu,0.0,0.0,0.0,0.0,1,0,1,1.0,21
4@purdue.edu,5.0,0.35638297872340424,0.3995854063018238,1323.536593705518,15,12,27,27.0,41
5@purdue.edu,5.0,0.2921511627906977,0.31650082918739686,272.145754027275,14,5,19,19.0,41
6@purdue.edu,0.0,0.0,0.0,0.0,1,0,1,1.0,19
7@purdue.edu,5.0,0.33668341708542715,0.3686567164179104,11.532937240836322,1,7,8,8.0,41
8@purdue.edu,5.0,0.35892857142857143,0.40290215588723044,615.7428505650208,9,13,22,22.0,41
9@purdue.edu,0.0,0.0,0.0,0.0,1,0,1,1.0,18
10@purdue.edu,5.0,0.38803088803088803,0.4266998341625203,1011.2857175562569,16,10,26,26.0,41
11@purdue.edu,1.0,1.0,1.0,184.0,9,2,11,11.0,7
12@purdue.edu,5.0,0.3278955954323002,0.35406301824212294,449.70252010912156,19,5,24,24.0,41
13@purdue.edu,0.0,0.0,0.0,0.0,0,0,0,0.0,43
14@purdue.edu,5.0,0.43982494529540483,0.49104477611940245,695.3751884815055,6,29,35,35.0,41
15@purdue.edu,0.0,0.0,0.0,0.0,0,0,0,0.0,44
16@purdue.edu,6.0,0.2966226138032305,0.32227722772277273,0.0,0,3,3,3.0,45
17@purdue.edu,6.0,0.2863247863247863,0.3132669983416256,239.50144396203459,4,4,8,8.0,41
18@purdue.edu,5.0,0.3654545454545455,0.4181592039800995,1357.1289582357672,23,18,41,41.0,41
19@purdue.edu,6.0,0.3008982035928144,0.32645107794361555,318.33938387112516,9,4,13,13.0,41
20@purdue.edu,4.0,0.4222689075630252,0.47056384742951857,926.2656871090844,7,18,25,25.0,41
21@purdue.edu,0.0,0.0,0.0,0.0,2,1,3,3.0,29
22@purdue.edu,5.0,0.3401015228426396,0.37048092868988386,63.33988853886005,2,5,7,7.0,41
23@purdue.edu,5.0,0.2968980797636632,0.313930348258707,394.7516267991251,12,2,14,14.0,41
